"","Country","CountryCode","mean_feeling_of_happiness","mean_life_satisfaction","mean_financial_satisfaction","Year","gdp","Number_below_$3.65_a_day","Number_below_$6.85_a_day","Number_below_$10_a_day","total_population","Region","Latitude","Longitude","Length","Area"
"1","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia",33.93911,67.709953,50.8032097216606,62.5667138767718
"2","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2012",4247.63004748194,"139377","1063512","1887070",2900401,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"3","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2014",4578.63320812155,"279549","1119349","1761723",2889104,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"4","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2008",4370.5399247769,"115022","985342","1849996",2947314,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"5","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2015",3952.80253807527,"106557","753428","1458177",2880703,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"6","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2018",5287.66369446913,"78263","520561","1128553",2866376,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"7","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2005",2673.78658429559,"219516","1217497","2061456",3011487,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"8","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2019",5396.21586434732,"22774","312161","876631",2854191,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"9","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2017",4531.0193737689,"104211","733910","1398525",2873457,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"10","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"2002",1425.12421860142,"347459","1589301","2340279",3051010,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
"11","Albania","ALB",2.40909090909091,5.16565656565657,4.74949494949495,"1996",1009.97727483821,"281906","1516827","2395790",3168033,"Europe and Central Asia",41.153332,20.168331,9.62503796839992,3.07353997581252
